CustomerID,TotalMRR,MRRRank
C1049,4676.88,1
C1194,3957.3599999999997,2
C1395,3177.88,3
C1103,3057.96,4
C1144,2698.2,5
C1242,2648.88,6
C1034,2578.28,7
C1045,2578.28,7
C1113,2578.28,7
C1195,2578.28,7
C1290,2578.28,7
C1352,2578.28,7
C1076,2542.6400000000003,13
C1412,2534.8,14
C1030,2458.36,15
C1308,2458.36,15
C1324,2458.36,15
C1349,2458.36,15
C1166,2338.44,19
C1204,2338.44,19
C1263,2338.44,19
C1325,2338.44,19
C1102,2218.52,23
C1156,2218.52,23
C1198,2218.52,23
C1272,2218.52,23
C1341,2218.52,23
C1381,2218.52,23
C1385,2218.52,23
C1009,2098.6,30
C1018,2098.6,30
C1046,2098.6,30
C1100,2098.6,30
C1155,2098.6,30
C1162,2098.6,30
C1241,2098.6,30
C1252,2098.6,30
C1267,2098.6,30
C1281,2098.6,30
C1327,2098.6,30
C1345,2098.6,30
C1369,2098.6,30
C1384,2098.6,30
C1012,1978.68,44
C1035,1978.68,44
C1037,1978.68,44
C1149,1978.68,44
C1182,1978.68,44
C1250,1978.68,44
C1256,1978.68,44
C1261,1978.68,44
C1282,1978.68,44
C1284,1978.68,44
C1313,1978.68,44
C1334,1978.68,44
C1350,1978.68,44
C1364,1978.68,44
C1013,1931.28,58
C1094,1858.76,59
C1121,1858.76,59
C1201,1858.76,59
C1217,1858.76,59
C1257,1858.76,59
C1050,1825.3600000000001,64
C1239,1738.84,65
C1006,1618.92,66
C1288,1618.92,66
C1380,1618.92,66
C1275,1499,69
C1202,1112.88,70
C1230,1009.04,71
C1016,978.04,72
C1397,938.12,73
C1065,898.2,74
C1224,898.2,74
C1129,858.28,76
C1203,858.28,76
C1008,818.36,78
C1054,818.36,78
C1086,818.36,78
C1098,818.36,78
C1172,818.36,78
C1184,818.36,78
C1222,818.36,78
C1251,818.36,78
C1260,818.36,78
C1273,818.36,78
C1023,778.44,88
C1027,778.44,88
C1079,778.44,88
C1148,778.44,88
C1151,778.44,88
C1188,778.44,88
C1205,778.44,88
C1259,778.44,88
C1285,778.44,88
C1302,778.44,88
C1310,778.44,88
C1335,778.44,88
C1365,778.44,88
C1374,778.44,88
C1404,778.44,88
C1415,778.44,88
C1132,775.04,104
C1075,738.52,105
C1117,738.52,105
C1186,738.52,105
C1206,738.52,105
C1232,738.52,105
C1247,738.52,105
C1248,738.52,105
C1389,738.52,105
C1407,738.52,105
C1154,723.3599999999999,114
C1026,698.6,115
C1029,698.6,115
C1043,698.6,115
C1105,698.6,115
C1227,698.6,115
C1249,698.6,115
C1264,698.6,115
C1297,698.6,115
C1355,698.6,115
C1377,698.6,115
C1007,658.68,125
C1048,658.68,125
C1056,658.68,125
C1059,658.68,125
C1093,658.68,125
C1111,658.68,125
C1169,658.68,125
C1209,658.68,125
C1220,658.68,125
C1258,658.68,125
C1296,658.68,125
C1336,658.68,125
C1359,658.68,125
C1361,658.68,125
C1370,658.68,125
C1399,658.68,125
C1416,658.68,125
C1005,618.76,142
C1085,618.76,142
C1091,618.76,142
C1153,618.76,142
C1246,618.76,142
C1332,618.76,142
C1348,618.76,142
C1356,618.76,142
C1150,578.84,150
C1187,578.84,150
C1233,578.84,150
C1212,538.92,153
C1330,538.92,153
C1131,525.36,155
C1041,437.8,156
C1214,405.96,157
C1183,402.8,158
C1052,390.04,159
C1378,383.20000000000005,160
C1299,374.12,161
C1062,358.2,162
C1237,358.2,162
C1294,358.2,162
C1033,342.28,165
C1137,342.28,165
C1190,342.28,165
C1262,342.28,165
C1266,342.28,165
C1274,342.28,165
C1316,342.28,165
C1328,342.28,165
C1338,342.28,165
C1401,342.28,165
C1019,326.36,175
C1040,326.36,175
C1067,326.36,175
C1071,326.36,175
C1090,326.36,175
C1142,326.36,175
C1178,326.36,175
C1286,326.36,175
C1312,326.36,175
C1317,326.36,175
C1320,326.36,175
C1346,326.36,175
C1396,326.36,175
C1398,326.36,175
C1410,326.36,175
C1414,326.36,175
C1417,326.36,175
C1418,326.36,175
C1053,310.44,193
C1061,310.44,193
C1080,310.44,193
C1088,310.44,193
C1096,310.44,193
C1120,310.44,193
C1122,310.44,193
C1189,310.44,193
C1207,310.44,193
C1254,310.44,193
C1255,310.44,193
C1314,310.44,193
C1331,310.44,193
C1363,310.44,193
C1376,310.44,193
C1387,310.44,193
C1388,310.44,193
C1028,294.52,210
C1031,294.52,210
C1074,294.52,210
C1082,294.52,210
C1084,294.52,210
C1101,294.52,210
C1110,294.52,210
C1136,294.52,210
C1146,294.52,210
C1152,294.52,210
C1171,294.52,210
C1185,294.52,210
C1211,294.52,210
C1265,294.52,210
C1269,294.52,210
C1270,294.52,210
C1271,294.52,210
C1322,294.52,210
C1372,294.52,210
C1400,294.52,210
C1419,294.52,210
C1001,278.6,231
C1003,278.6,231
C1010,278.6,231
C1072,278.6,231
C1118,278.6,231
C1124,278.6,231
C1127,278.6,231
C1140,278.6,231
C1141,278.6,231
C1163,278.6,231
C1167,278.6,231
C1193,278.6,231
C1199,278.6,231
C1223,278.6,231
C1277,278.6,231
C1280,278.6,231
C1293,278.6,231
C1295,278.6,231
C1300,278.6,231
C1307,278.6,231
C1319,278.6,231
C1333,278.6,231
C1339,278.6,231
C1366,278.6,231
C1390,278.6,231
C1393,278.6,231
C1394,278.6,231
C1403,278.6,231
C1406,278.6,231
C1420,278.6,231
C1011,262.68,261
C1025,262.68,261
C1051,262.68,261
C1068,262.68,261
C1109,262.68,261
C1147,262.68,261
C1289,262.68,261
C1292,262.68,261
C1305,262.68,261
C1344,262.68,261
C1357,262.68,261
C1371,262.68,261
C1402,262.68,261
C1411,262.68,261
C1002,246.76,275
C1015,246.76,275
C1024,246.76,275
C1038,246.76,275
C1044,246.76,275
C1135,246.76,275
C1161,246.76,275
C1226,246.76,275
C1231,246.76,275
C1276,246.76,275
C1405,246.76,275
C1413,246.76,275
C1157,230.84,287
C1174,230.84,287
C1181,230.84,287
C1228,230.84,287
C1287,230.84,287
C1301,230.84,287
C1337,230.84,287
C1213,214.92,294
C1106,199,295
C1219,160.72,296
C1253,156.8,297
C1225,129.36,298
C1196,99.96,299
C1354,99.96,299
C1126,96.04,301
C1123,92.12,302
C1383,92.12,302
C1066,88.2,304
C1099,88.2,304
C1115,88.2,304
C1125,88.2,304
C1128,88.2,304
C1143,88.2,304
C1197,88.2,304
C1238,88.2,304
C1340,88.2,304
C1073,84.28,313
C1138,84.28,313
C1158,84.28,313
C1192,84.28,313
C1218,84.28,313
C1245,84.28,313
C1283,84.28,313
C1004,80.36,320
C1036,80.36,320
C1047,80.36,320
C1060,80.36,320
C1069,80.36,320
C1077,80.36,320
C1083,80.36,320
C1114,80.36,320
C1116,80.36,320
C1130,80.36,320
C1133,80.36,320
C1159,80.36,320
C1164,80.36,320
C1221,80.36,320
C1268,80.36,320
C1279,80.36,320
C1309,80.36,320
C1021,76.44,337
C1039,76.44,337
C1057,76.44,337
C1078,76.44,337
C1170,76.44,337
C1173,76.44,337
C1216,76.44,337
C1326,76.44,337
C1329,76.44,337
C1342,76.44,337
C1351,76.44,337
C1367,76.44,337
C1089,72.52,349
C1095,72.52,349
C1104,72.52,349
C1112,72.52,349
C1119,72.52,349
C1165,72.52,349
C1176,72.52,349
C1177,72.52,349
C1229,72.52,349
C1236,72.52,349
C1244,72.52,349
C1278,72.52,349
C1303,72.52,349
C1306,72.52,349
C1343,72.52,349
C1347,72.52,349
C1386,72.52,349
C1014,68.6,366
C1020,68.6,366
C1055,68.6,366
C1064,68.6,366
C1092,68.6,366
C1097,68.6,366
C1108,68.6,366
C1139,68.6,366
C1145,68.6,366
C1160,68.6,366
C1180,68.6,366
C1191,68.6,366
C1234,68.6,366
C1235,68.6,366
C1321,68.6,366
C1323,68.6,366
C1353,68.6,366
C1375,68.6,366
C1382,68.6,366
C1391,68.6,366
C1408,68.6,366
C1409,68.6,366
C1022,64.68,388
C1058,64.68,388
C1070,64.68,388
C1081,64.68,388
C1107,64.68,388
C1240,64.68,388
C1243,64.68,388
C1304,64.68,388
C1311,64.68,388
C1318,64.68,388
C1358,64.68,388
C1362,64.68,388
C1392,64.68,388
C1017,60.76,401
C1032,60.76,401
C1042,60.76,401
C1087,60.76,401
C1179,60.76,401
C1200,60.76,401
C1208,60.76,401
C1215,60.76,401
C1291,60.76,401
C1360,60.76,401
C1373,60.76,401
C1379,60.76,401
C1063,56.84,413
C1134,56.84,413
C1168,56.84,413
C1175,56.84,413
C1210,56.84,413
C1298,56.84,413
C1315,52.92,419
C1368,52.92,419
