CustomerID,TotalMRR
C1049,4676.88
C1194,3957.3599999999997
C1395,3177.88
C1103,3057.96
C1144,2698.2
C1242,2648.88
C1113,2578.28
C1352,2578.28
C1034,2578.28
C1045,2578.28
C1290,2578.28
C1195,2578.28
C1076,2542.6400000000003
C1412,2534.8
C1349,2458.36
C1308,2458.36
C1030,2458.36
C1324,2458.36
C1204,2338.44
C1263,2338.44
C1325,2338.44
C1166,2338.44
C1102,2218.52
C1381,2218.52
C1156,2218.52
C1198,2218.52
C1341,2218.52
C1272,2218.52
C1385,2218.52
C1009,2098.6
C1162,2098.6
C1252,2098.6
C1018,2098.6
C1267,2098.6
C1046,2098.6
C1369,2098.6
C1281,2098.6
C1100,2098.6
C1241,2098.6
C1327,2098.6
C1345,2098.6
C1155,2098.6
C1384,2098.6
C1012,1978.68
C1035,1978.68
C1149,1978.68
C1250,1978.68
C1313,1978.68
C1282,1978.68
C1284,1978.68
C1334,1978.68
C1261,1978.68
C1350,1978.68
C1037,1978.68
C1364,1978.68
C1256,1978.68
C1182,1978.68
C1013,1931.28
C1094,1858.76
C1121,1858.76
C1201,1858.76
C1257,1858.76
C1217,1858.76
C1050,1825.3600000000001
C1239,1738.84
C1006,1618.92
C1288,1618.92
C1380,1618.92
C1275,1499
C1202,1112.88
C1230,1009.04
